INDEX page=1 episodes=20 total=20
INDEX page=2 episodes=20 total=40
INDEX page=3 episodes=20 total=60
INDEX page=4 episodes=20 total=80
INDEX page=5 episodes=20 total=100
INDEX page=6 episodes=20 total=120
INDEX page=7 episodes=20 total=140
INDEX page=8 episodes=20 total=160
INDEX page=9 episodes=20 total=180
INDEX page=10 episodes=20 total=200
INDEX page=11 episodes=20 total=220
INDEX page=12 episodes=8 total=228
INDEX page=13 episodes=1 total=228
SAVED 220/228 michael-buble-christmas-special-i-will-never-be-carefree-again-cancer-diagnosis-dealing-with-rejection-being-mr-christmas (259 paragraphs)
SAVED 221/228 the-no-5aaccdec-eca7-4ba4-9c55-698a4463c82d (189 paragraphs)
SAVED 222/228 moment-140-the-2-minute-trick-that-beats-procrastinating-for-good-ali-abdaal (25 paragraphs)
SAVED 223/228 dynamo-is-dead-the-heartbreaking-true-story-of-why-dynamo-the-magician-vanished-for-years-exclusive (223 paragraphs)
SAVED 224/228 casey-neistat-the-untold-story-i-was-a-homeless-dad-at-15-had-200k-debt-the-crazy-story-of-how-i-became-the-world-s-no (228 paragraphs)
SAVED 225/228 moment-139-your-inner-voice-is-limiting-you-how-to-control-the-negative-inner-thoughts-mo-gowdat (16 paragraphs)
SAVED 226/228 esther-perel-love-sex-expert-why-men-love-porn-more-than-their-partner-it-s-time-to-enjoy-sex-again-the-real-reason-men-women-cheat (293 paragraphs)
SAVED 227/228 mel-robbins-saying-these-2-words-will-fix-your-anxiety-the-new-trick-for-stress-anxiety-breaking-every-bad-habit-in-2024 (184 paragraphs)
SAVED 228/228 moment-138-the-power-of-letting-go-embracing-the-unknown-bozoma-saint-john (33 paragraphs)
DONE total_saved=228
